    Ps have (part) atoms    1.0000
ade    Ade is a drink    1.0000
adelgid    Adelgids have short antennae and no cornicles    0.7916
adenitis    An adenitis is a symptom    1.0000
adenocarcinoma    Adenocarcinomas are the most common type of extrahepatic bile duct cancers    0.7590
adenoid    Adenoids are lymph tissues at the back of the nasal passage above the tonsils    0.8641
adenoma    Adenoma is diseases    1.0000
adenomatous polyp    Adenomatous polyp is growth    1.0000
adenomyosis    Adenomyosises are illnesses    1.0000
adenosine    Adenosine acts as a muscle relaxant and as a protectant against poisons such as caffeine    0.7964
adenosis    Adenosis is disorder    1.0000
adenovirus    Adenoviruses cause diseases    1.0000
adenovirus infection    Adenovirus infection shows symptoms    1.0000
adenovirus vector    Adenovirus vectors have arrangements    1.0000
adept    An adept is an expert    1.0000
adequate facility    Adequate facilities encourage workers    1.0000
adequate intake    Adequate intake plays roles    1.0000
adequate iron    Adequate iron is important to healthy red blood cells, which keep the body energized    0.7204
adequate rainfall    Adequate rainfall promotes development    1.0000
adherence    Adherence is support    1.0000
adhesion molecule    Adhesion molecules contribute to ischemia and reperfusion-induced injury in the isolated rat lung    0.7734
adhesion receptor    Adhesion receptors mediate cell binding to extracellular matrix proteins immobilized on surfaces    0.8410
adhesive    Adhesives are sticky substances made from a compound that adheres or bonds two items together    0.8240
adhesive bandage    Adhesive bandages are located in pharmacies    1.0000
adhesive droplet    Adhesive droplets adhere to cuticle protuberances of both mirid bugs and flies    0.7551
adhesive interaction    Adhesive interactions take place when lymphocytes have been activated by foreign antigen    0.8160
adhesive secretion    Adhesive secretion is produced by glands    1.0000
adhesive tape    Adhesive tape is tape    1.0000
adiabatic process    An adiabatic process is an action    1.0000
adipose cell    Adipose cells are specialized for fat storage    0.8602
adison    Madison isa thing    1.0000
adit    An adit is passage    1.0000
adjacency    Adjacencies are nearness    1.0000
adjacent community    Adjacent communities occupy environments    1.0000
adjacent lymphocyte    Adjacent lymphocytes crowd right up to the nucleus    0.7606
adjacent particle    Adjacent particles make up substances    1.0000
adjective    Adjectives are part of adjectives    1.0000
adjective clause    Adjective clauses modify nouns, pronouns or groups of words used as nouns    0.7191
adjournment    Adjournments are terminations    1.0000
adjudication    Adjudication is judgment    1.0000
adjudicator    An adjudicator is a person    1.0000
adjustable wrench    An adjustable wrench is a hand tool    1.0000
adjustment    Adjustment isa transformation    1.0000
adjustment disorder    Adjustment disorder is diseases    1.0000
adjuvant    An adjuvant is an additive    1.0000
adjuvant chemotherapy    Adjuvant chemotherapy involves a combination of anticancer drugs    0.7219
adjuvant therapy    Adjuvant therapy is systemic therapy given after surgery to prevent reoccurring cancer    0.7047
administration    Administration is part of government    1.0000
administration official    Administration officials express confidence    1.0000
administrative activity    Administrative activities involve effort    1.0000
administrative committee    Administrative committees recommend policy    1.0000
administrative district    An administrative district is a district    1.0000
administrative hearing    An administrative hearing is a hearing    1.0000
administrative law    An administrative law is a law    1.0000
administrative manager    Administrative managers maintain facilities    1.0000
administrative officer    Administrative officers are workers    1.0000
administrative procedure    Administrative procedures are procedures    1.0000
administrative service manager    Administrative service managers coordinate services    1.0000
administrative staff    Administrative staff provide high quality information technology services    1.0000
administrative unit    An administrative unit is an unit    1.0000
administrator    Administrators have (part) heads    1.0000
admiral    Admirals have (part) body substances    1.0000
admiration    Admiration is blessings    1.0000
admissibility    Admissibility is quality    1.0000
admission    Admission isa arrival    1.0000
admission ticket    Admission tickets are located in movies    1.0000
admittance    Admittance is an entrance    1.0000
admixture    An admixture is an ingredient    1.0000
ado    An ado is a disturbance    1.0000
adobe    Adobe is bricks    1.0000
adobo    An adobo is a dish    1.0000
adolescence    Adolescence is the period between physical maturity and socio-economic maturity    0.7652
adolescent    Adolescents are juveniles    1.0000
adolescent baseball player    Adolescent baseball players to experience injuries    1.0000
adolescent smoker    Adolescent smokers to engage in behavior    1.0000
adolinium    Gadolinium has seventeen isotopes    0.7701
adoptee    An adoptee is a person    1.0000
adoption    Adoption is approval    1.0000
adoptive parent    Adoptive parents are parents    1.0000
adoration    Adoration is appreciation    1.0000
adornment    Adornment is decoration    1.0000
adrenal androgen    Adrenal androgens produce virilizing characteristics in genetic females    0.7762
adrenal cortex    Adrenal cortexes produce steroid hormones    1.0000
adrenal corticosteroid    Adrenal corticosteroids stimulate resorption of bone and inhibit the formation of new bone    0.8590
adrenal disease    Adrenal diseases require treatments    1.0000
adrenal epinephrine    Adrenal epinephrine increases alveolar liquid clearance in neurogenic pulmonary edema    0.7314
adrenal gland    Adrenal glands sit atop the kidneys     0.8326
adrenal glucocorticoid    Adrenal glucocorticoids can inhibit lactation at high doses    0.7551
adrenal hormone    Adrenal hormones favor sodium retention and potassium loss, so stress can affect potassium levels    0.7566
adrenal insufficiency    Adrenal insufficiency is a life threatening chronic illness which can be managed through medication    0.7363
adrenal medulla    Adrenal medulla is innervated by sympathetic preganglionic neurons    0.8143
adrenal steroid    Adrenal steroids stimulate thiazide-sensitive nacl transport by the rat renal distal tubule    0.8333
adrenal stress    Adrenal stress is a major cause of hormonal problems    0.7116
adrenaline    Adrenaline is an aromatic amine    0.8252
adrenarche    An adrenarche is a start    1.0000
adrenergic function    Adrenergic function makes the heart go faster    0.7041
adrenergic receptor    Adrenergic receptor blocking agents are antidotes to pseudoephedrine    0.7963
adrenocortical adenocarcinoma    Adrenocortical adenocarcinoma is a lethal disease, requiring aggressive resection if possible    0.7255
adrenocortical carcinoma    Adrenocortical carcinoma is a rare tumor with a poor prognosis    0.7818
